날짜,Gold,SnP,Dollar
1979-12-26,514.3,107.8,85.99
1979-12-27,532.0,108.0,85.51
1979-12-28,533.0,107.8,85.81
1979-12-31,549.4,107.9,85.82
1980-01-01,561.9,107.9,85.57
1980-01-02,574.4,105.8,85.32
1980-01-03,599.4,105.2,85.26
1980-01-04,619.5,106.5,85.23
1980-01-07,642.4,106.8,84.79
1980-01-08,617.4,108.9,85.07
1980-01-09,612.5,109.1,85.02
1980-01-10,610.0,109.9,85.21
1980-01-11,635.0,109.9,85.35
1980-01-14,660.0,110.4,85.23
1980-01-15,697.5,111.1,85.64
1980-01-16,747.5,111.1,85.4
1980-01-17,797.5,110.7,85.52
1980-01-18,834.0,111.1,85.45
1980-01-21,847.0,112.1,85.7
1980-01-22,797.0,111.5,85.8
1980-01-23,747.0,113.4,85.56
1980-01-24,697.0,113.7,85.71
1980-01-25,647.0,113.6,85.94
1980-01-28,649.1,114.8,86.1
1980-01-29,709.2,114.1,86.02
1980-01-30,681.0,115.2,85.96
1980-01-31,704.0,114.2,86.14
1980-02-01,704.0,115.1,86.13
1980-02-04,677.0,114.4,86.05
1980-02-05,702.0,114.7,86.02
1980-02-06,727.0,115.7,85.62
1980-02-07,710.0,116.3,85.8
1980-02-08,717.5,117.9,85.94
1980-02-11,726.0,117.1,85.85
1980-02-12,718.5,117.9,85.81
1980-02-13,709.0,118.4,85.77
1980-02-14,690.5,116.7,85.84
1980-02-15,680.5,115.4,86.1
1980-02-18,661.75,115.4,86.4075
1980-02-19,655.5,114.6,86.51
1980-02-20,673.0,116.5,86.48
1980-02-21,666.5,115.3,86.41
1980-02-22,641.5,115.0,86.92
1980-02-25,659.0,113.3,87.05
1980-02-26,635.5,114.0,87.08
1980-02-27,660.8,112.4,86.9
1980-02-28,661.2,112.3,87.01
1980-02-29,651.0,113.7,87.65
1980-03-03,651.6,112.5,87.85
1980-03-04,662.7,112.8,88.08
1980-03-05,654.5,111.1,87.99
1980-03-06,629.5,108.7,88.32
1980-03-07,615.0,106.9,88.41
1980-03-10,577.5,106.5,88.89
1980-03-11,579.5,107.8,88.93
1980-03-12,590.0,106.9,88.8
1980-03-13,552.5,105.6,89.27
1980-03-14,538.5,105.4,89.82
1980-03-17,488.5,102.3,91.27
1980-03-18,496.5,104.1,91.35
1980-03-19,546.5,104.3,91.09
1980-03-20,547.0,103.1,90.84
1980-03-21,573.8,102.3,91.26
1980-03-24,558.0,99.3,91.61
1980-03-25,537.5,99.2,91.84
1980-03-26,512.5,98.7,91.75
1980-03-27,496.0,98.2,92.49
1980-03-28,525.0,100.7,92.83
1980-03-31,519.0,102.1,93.58
1980-04-01,515.0,102.2,94.22
1980-04-02,506.0,102.7,94.07
1980-04-03,501.5,102.2,94.37
1980-04-04,507.75,101.7,94.67
1980-04-07,526.5,100.2,94.88
1980-04-08,551.5,101.2,93.46
1980-04-09,550.0,103.1,91.63
1980-04-10,544.5,104.1,91.07
1980-04-11,544.0,103.8,91.26
1980-04-14,519.5,102.8,91.02
1980-04-15,530.0,102.6,91.81
1980-04-16,516.0,101.5,90.57
1980-04-17,522.0,101.1,90.51
1980-04-18,520.0,100.6,90.5
1980-04-21,497.0,99.8,90.15
1980-04-22,510.0,103.4,90.55
1980-04-23,515.0,103.7,88.87
1980-04-24,538.0,104.4,88.83
1980-04-25,547.0,105.2,88.68
1980-04-28,536.8,105.6,88.04
1980-04-29,535.7,105.9,88.01
1980-04-30,513.2,106.3,88.11
1980-05-01,526.0,105.5,88.22
1980-05-02,522.4,105.6,88.9
1980-05-05,529.1,106.4,87.84
1980-05-06,515.5,106.2,87.41
1980-05-07,522.3,107.2,87.21
1980-05-08,517.7,106.1,87.5
1980-05-09,520.9,104.7,88.01
1980-05-12,514.2,104.8,87.08
1980-05-13,525.1,106.3,87.23
1980-05-14,529.7,106.8,86.92
1980-05-15,519.2,107.0,86.97
1980-05-16,519.3,107.3,87.24
