"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 19","4,967.23","5,005.44","5,019.02","4,953.56","","-0.88%"
"2024- 04- 18","5,011.12","5,031.52","5,056.66","5,001.89","","-0.22%"
"2024- 04- 17","5,022.21","5,068.97","5,077.96","5,007.25","","-0.58%"
"2024- 04- 16","5,051.41","5,064.59","5,079.84","5,039.83","","-0.21%"
"2024- 04- 15","5,061.82","5,149.67","5,168.43","5,052.47","","-1.20%"
"2024- 04- 12","5,123.40","5,171.50","5,175.00","5,107.90","","-1.46%"
"2024- 04- 11","5,199.10","5,172.90","5,211.80","5,138.80","","0.75%"
"2024- 04- 10","5,160.60","5,167.90","5,178.40","5,138.70","","-0.95%"
"2024- 04- 09","5,209.90","5,217.00","5,224.80","5,160.80","","0.14%"
"2024- 04- 08","5,202.40","5,211.40","5,219.60","5,197.40","","-0.04%"
"2024- 04- 05","5,204.30","5,158.90","5,222.20","5,157.20","","1.11%"
"2024- 04- 04","5,147.20","5,244.10","5,256.60","5,146.10","","-1.23%"
"2024- 04- 03","5,211.50","5,194.40","5,228.80","5,194.40","","0.11%"
"2024- 04- 02","5,205.80","5,204.30","5,208.30","5,184.10","","-0.72%"
"2024- 04- 01","5,243.80","5,258.00","5,263.90","5,229.20","","-0.20%"
"2024- 03- 28","5,254.40","5,248.00","5,264.90","5,245.80","","0.11%"
"2024- 03- 27","5,248.50","5,226.30","5,249.30","5,213.90","","0.86%"
"2024- 03- 26","5,203.60","5,228.90","5,235.20","5,203.40","","-0.28%"
"2024- 03- 25","5,218.20","5,219.50","5,229.10","5,216.10","","-0.31%"
"2024- 03- 22","5,234.20","5,242.50","5,246.10","5,229.90","","-0.14%"
"2024- 03- 21","5,241.50","5,253.40","5,261.10","5,240.70","","0.32%"
"2024- 03- 20","5,224.60","5,181.70","5,226.20","5,171.60","","0.89%"
