"날짜","종가","시가","고가","저가","거래량","변동 %"
"1986- 04- 18","346.70","344.50","352.50","344.00","47.56K","1.52%"
"1986- 04- 17","341.50","342.00","343.40","338.20","24.55K","-0.12%"
"1986- 04- 16","341.90","342.50","342.90","339.50","24.52K","-0.44%"
"1986- 04- 15","343.40","344.00","346.80","341.20","32.71K","-0.23%"
"1986- 04- 14","344.20","345.00","345.50","342.20","20.20K","-0.95%"
"1986- 04- 11","347.50","342.50","348.50","342.50","35.14K","1.70%"
"1986- 04- 10","341.70","339.80","342.80","339.00","20.92K","-0.15%"
"1986- 04- 09","342.20","341.50","343.30","338.60","29.88K","-0.20%"
"1986- 04- 08","342.90","343.50","344.50","336.50","36.90K","0.12%"
"1986- 04- 07","342.50","338.20","343.30","338.10","24.49K","1.21%"
"1986- 04- 04","338.40","337.40","339.70","336.80","15.38K","0.00%"
"1986- 04- 03","338.40","338.70","339.10","335.50","18.87K","-0.32%"
"1986- 04- 02","339.50","337.50","340.80","337.50","22.83K","0.74%"
"1986- 04- 01","337.00","336.00","337.80","330.80","49.46K","0.66%"
"1986- 03- 31","334.80","346.00","346.00","334.00","43.46K","-3.57%"
"1986- 03- 27","347.20","348.50","349.00","346.00","22.85K","0.20%"
"1986- 03- 26","346.50","346.50","346.50","346.50","","0.20%"
"1986- 03- 25","345.80","355.00","355.00","354.50","0.04K","-2.07%"
"1986- 03- 24","353.10","353.10","353.10","353.10","","-1.70%"
"1986- 03- 21","359.20","359.20","359.20","359.20","0.00K","1.33%"
"1986- 03- 20","354.50","354.50","354.50","354.50","","0.54%"
"1986- 03- 19","352.60","352.60","352.60","352.60","","0.14%"
"1986- 03- 18","352.10","352.10","352.10","352.10","0.01K","-0.14%"
"1986- 03- 17","352.60","352.60","352.60","352.60","","0.54%"
"1986- 03- 14","350.70","350.70","350.70","350.70","","-0.09%"
"1986- 03- 13","351.00","351.00","351.00","351.00","","-1.07%"
"1986- 03- 12","354.80","354.80","354.80","354.80","0.01K","2.34%"
"1986- 03- 11","346.70","346.70","346.70","346.70","","0.46%"
"1986- 03- 10","345.10","345.10","345.10","345.10","","-0.72%"
"1986- 03- 07","347.60","347.60","347.60","347.60","","0.40%"
"1986- 03- 06","346.20","346.20","346.20","346.20","","-0.06%"
"1986- 03- 05","346.40","346.40","346.40","346.40","0.01K","-0.40%"
"1986- 03- 04","347.80","347.80","347.80","347.80","0.01K","1.61%"
"1986- 03- 03","342.30","342.30","342.30","342.30","","-0.15%"
"1986- 02- 28","342.80","342.80","342.80","342.80","","-0.06%"
"1986- 02- 27","343.00","343.80","344.60","338.90","1.95K","1.33%"
"1986- 02- 26","338.50","348.00","349.90","337.00","40.86K","-3.29%"
"1986- 02- 25","350.00","355.00","357.50","349.00","44.60K","-0.28%"
"1986- 02- 24","351.00","345.50","351.30","342.40","35.79K","2.24%"
"1986- 02- 21","343.30","340.80","343.40","339.70","18.93K","0.56%"
"1986- 02- 20","341.40","340.50","341.50","338.30","18.74K","0.71%"
"1986- 02- 19","339.00","344.00","346.70","337.20","38.87K","-0.21%"
"1986- 02- 18","339.70","336.20","341.00","336.20","22.57K","1.04%"
"1986- 02- 14","336.20","332.00","337.20","331.70","21.30K","0.27%"
"1986- 02- 13","335.30","336.50","337.80","334.50","21.68K","-1.61%"
"1986- 02- 12","340.80","341.00","341.20","338.70","14.22K","-0.23%"
